Country/Region,Material Class,Material Type,Process,Source,Process Description,Detailed Explanation,Assumed Product Weight (kg),AI Rationale for the selection of the source/EF,Rationale for Assumed Product Weight,Source / Reference,EF (kgCO2) per 1 kg,Calculation Summary,Calculated Energy per kg (kWh/kg),Notes,Source,Ai Rationale for the selection,,,
China,Mesh,Air Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.109,,,,,,,,
Vietnam,Mesh,Air Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.082,,,,,,,,
Global,Mesh,Air Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.088,,,,,,,,
Czech Republic,Mesh,Air Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.086,,,,,,,,
France,Mesh,Air Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.010,,,,,,,,
Netherlands,Mesh,Air Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.057,,,,,,,,
Poland,Mesh,Air Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.125,,,,,,,,
Spain,Mesh,Air Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.026,,,,,,,,
Taiwan,Mesh,Air Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.100,,,,,,,,
United States ,Mesh,Air Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.063,,,,,,,,
India,Mesh,Air Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.187,,,,,,,,
United Kingdom,Mesh,Air Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.036,,,,,,,,
Rest-of-World,Mesh,Air Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.134,,,,,,,,
,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),"Clothing manufacturing related electricity consumption (Long side cutting, machine, Long side hemming
machine, Sewing machine, Overlock machin)
",1,,The source provided kWh/kg of garment manufacturing related energy,Journal Paper - Mesh Electric energy consumption in the cotton textile processing stages 2010.pdf,Keep out of backend updates,0.065-0.195 midpoint,0.13,Mid point of the range of energy comusmed for the textile garment manufacturing is considered (0.065-0.195 kWh/kg),"Peer Reviewed Journal Paper
",,,,
China,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.109,,,,,,,,
Vietnam,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.082,,,,,,,,
Global,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.088,,,,,,,,
Czech Republic,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.086,,,,,,,,
France,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.010,,,,,,,,
Netherlands,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.057,,,,,,,,
Poland,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.125,,,,,,,,
Spain,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.026,,,,,,,,
Taiwan,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.100,,,,,,,,
United States ,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.063,,,,,,,,
India,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.187,,,,,,,,
United Kingdom,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.036,,,,,,,,
Rest-of-World,Mesh,Monofilament Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.134,,,,,,,,
,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),"Clothing manufacturing related electricity consumption (Long side cutting, machine, Long side hemming
machine, Sewing machine, Overlock machin)
",1,,The source provided kWh/kg of garment manufacturing related energy,Journal Paper - Mesh Electric energy consumption in the cotton textile processing stages 2010.pdf,Keep out of backend updates,0.065-0.195 midpoint,0.13,Mid point of the range of energy comusmed for the textile garment manufacturing is considered (0.065-0.195 kWh/kg),"Peer Reviewed Journal Paper
",,,,
China,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.109,,,,,,,,
Vietnam,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.082,,,,,,,,
Global,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.088,,,,,,,,
Czech Republic,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.086,,,,,,,,
France,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.010,,,,,,,,
Netherlands,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.057,,,,,,,,
Poland,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.125,,,,,,,,
Spain,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.026,,,,,,,,
Taiwan,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.100,,,,,,,,
United States ,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.063,,,,,,,,
India,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.187,,,,,,,,
United Kingdom,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.036,,,,,,,,
Rest-of-World,Mesh,Polypropylene Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.134,,,,,,,,
,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),"Clothing manufacturing related electricity consumption (Long side cutting, machine, Long side hemming
machine, Sewing machine, Overlock machin)
",1,,The source provided kWh/kg of garment manufacturing related energy,Journal Paper - Mesh Electric energy consumption in the cotton textile processing stages 2010.pdf,Keep out of backend updates,0.065-0.195 midpoint,0.13,Mid point of the range of energy comusmed for the textile garment manufacturing is considered (0.065-0.195 kWh/kg),"Peer Reviewed Journal Paper
",,,,
China,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.109,,,,,,,,
Vietnam,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.082,,,,,,,,
Global,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.088,,,,,,,,
Czech Republic,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.086,,,,,,,,
France,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.010,,,,,,,,
Netherlands,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.057,,,,,,,,
Poland,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.125,,,,,,,,
Spain,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.026,,,,,,,,
Taiwan,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.100,,,,,,,,
United States ,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.063,,,,,,,,
India,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.187,,,,,,,,
United Kingdom,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.036,,,,,,,,
Rest-of-World,Mesh,Acrylic Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.134,,,,,,,,
,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),"Clothing manufacturing related electricity consumption (Long side cutting, machine, Long side hemming
machine, Sewing machine, Overlock machin)
",1,,The source provided kWh/kg of garment manufacturing related energy,Journal Paper - Mesh Electric energy consumption in the cotton textile processing stages 2010.pdf,Keep out of backend updates,0.065-0.195 midpoint,0.13,Mid point of the range of energy comusmed for the textile garment manufacturing is considered (0.065-0.195 kWh/kg),"Peer Reviewed Journal Paper
",,,,
China,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.109,,,,,,,,
Vietnam,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.082,,,,,,,,
Global,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.088,,,,,,,,
Czech Republic,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.086,,,,,,,,
France,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.010,,,,,,,,
Netherlands,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.057,,,,,,,,
Poland,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.125,,,,,,,,
Spain,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.026,,,,,,,,
Taiwan,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.100,,,,,,,,
United States ,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.063,,,,,,,,
India,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.187,,,,,,,,
United Kingdom,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.036,,,,,,,,
Rest-of-World,Mesh,Conductive Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.134,,,,,,,,
,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),"Clothing manufacturing related electricity consumption (Long side cutting, machine, Long side hemming
machine, Sewing machine, Overlock machin)
",1,,The source provided kWh/kg of garment manufacturing related energy,Journal Paper - Mesh Electric energy consumption in the cotton textile processing stages 2010.pdf,Keep out of backend updates,0.065-0.195 midpoint,0.13,Mid point of the range of energy comusmed for the textile garment manufacturing is considered (0.065-0.195 kWh/kg),"Peer Reviewed Journal Paper
",,,,
China,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.109,,,,,,,,
Vietnam,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.082,,,,,,,,
Global,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.088,,,,,,,,
Czech Republic,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.086,,,,,,,,
France,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.010,,,,,,,,
Netherlands,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.057,,,,,,,,
Poland,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.125,,,,,,,,
Spain,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.026,,,,,,,,
Taiwan,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.100,,,,,,,,
United States ,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.063,,,,,,,,
India,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.187,,,,,,,,
United Kingdom,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.036,,,,,,,,
Rest-of-World,Mesh,Micro-Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.134,,,,,,,,
,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),"Clothing manufacturing related electricity consumption (Long side cutting, machine, Long side hemming
machine, Sewing machine, Overlock machin)
",1,,The source provided kWh/kg of garment manufacturing related energy,Journal Paper - Mesh Electric energy consumption in the cotton textile processing stages 2010.pdf,Keep out of backend updates,0.065-0.195 midpoint,0.13,Mid point of the range of energy comusmed for the textile garment manufacturing is considered (0.065-0.195 kWh/kg),"Peer Reviewed Journal Paper
",,,,
China,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.109,,,,,,,,
Vietnam,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.082,,,,,,,,
Global,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.088,,,,,,,,
Czech Republic,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.086,,,,,,,,
France,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.010,,,,,,,,
Netherlands,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.057,,,,,,,,
Poland,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.125,,,,,,,,
Spain,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.026,,,,,,,,
Taiwan,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.100,,,,,,,,
United States ,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.063,,,,,,,,
India,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.187,,,,,,,,
United Kingdom,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.036,,,,,,,,
Rest-of-World,Mesh,Hybrid Mesh,Whole process,"Peer Reviewed Journal Paper
",Whole process of cotton textile processing (kWh/kg),,,,,,0.134,,,,,,,,
,Foam,Polyurethane Foam,Whole process,Ecoinvent,"This emission factor is derived from the ecoinvent v3.11 dataset “mattress production, polyurethane foam mattress - GLO” to represent cradle-to-gate greenhouse gas (GHG) emissions from flexible polyurethane (PU) foam processing into finished products (e.g., cushions, upholstered furniture).","The original dataset models the production of a complete mattress with a total material mass of approximately 29.6 kg, comprising 24.45 kg of polyurethane flexible foam (~83% by mass) and other materials (cotton fabric, polyester resin, steel, nylon, etc.).
Total reported GHG emissions for one mattress are 237 kg CO₂e.
However, mattress production involves additional processes not relevant to foam cushion or upholstered furniture production (e.g., spring integration, textile cutting, quilting). Therefore, an adjustment is required to derive an appropriate emission factor for foam processing.
",24.45/29.6 kg,,"1️⃣ Proportional mass allocation of emissions to PU foam:
Foam mass share = 24.45 kg / 29.6 kg = 0.83 (83%)
Foam-attributable emissions = 237 kg CO₂e * 0.83 = 197 kg CO₂e
Initial emission factor = 197 kg CO₂e / 24.45 kg = 8.1 kg CO₂e/kg foam
2️⃣ Adjustment for mattress-specific processes:
Apply 25% deduction to remove mattress-specific contributions
Adjusted emission factor = 8.1 kg CO₂e/kg * 0.75 = 6.1 kg CO₂e/kg foam",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/19901/documentation,6.100,"1️⃣ Proportional mass allocation of emissions to PU foam:
Foam mass share = 24.45 kg / 29.6 kg = 0.83 (83%)
Foam-attributable emissions = 237 kg CO₂e * 0.83 = 197 kg CO₂e
Initial emission factor = 197 kg CO₂e / 24.45 kg = 8.1 kg CO₂e/kg foam
2️⃣ Adjustment for mattress-specific processes:
Apply 25% deduction to remove mattress-specific contributions
Adjusted emission factor = 8.1 kg CO₂e/kg * 0.75 = 6.1 kg CO₂e/kg foam",N/A,,Ecoinvent,,,,
Finland,Foam,Polyurethane Foam,Whole process,EPD,"This emission factor is derived from the ecoinvent v3.11 dataset “mattress production, polyurethane foam mattress - GLO” to represent cradle-to-gate greenhouse gas (GHG) emissions from flexible polyurethane (PU) foam processing into finished products (e.g., cushions, upholstered furniture).","The original dataset models the production of a complete mattress with a total material mass of approximately 29.6 kg, comprising 24.45 kg of polyurethane flexible foam (~83% by mass) and other materials (cotton fabric, polyester resin, steel, nylon, etc.).
Total reported GHG emissions for one mattress are 237 kg CO₂e.
However, mattress production involves additional processes not relevant to foam cushion or upholstered furniture production (e.g., spring integration, textile cutting, quilting). Therefore, an adjustment is required to derive an appropriate emission factor for foam processing.
",24.45/29.6 kg,,"1️⃣ Proportional mass allocation of emissions to PU foam:
Foam mass share = 24.45 kg / 29.6 kg = 0.83 (83%)
Foam-attributable emissions = 237 kg CO₂e * 0.83 = 197 kg CO₂e
Initial emission factor = 197 kg CO₂e / 24.45 kg = 8.1 kg CO₂e/kg foam
2️⃣ Adjustment for mattress-specific processes:
Apply 25% deduction to remove mattress-specific contributions
Adjusted emission factor = 8.1 kg CO₂e/kg * 0.75 = 6.1 kg CO₂e/kg foam",RTS_140_21  FF-PIR Polyurethane Insulation Finland  23072021-23072026.pdf,0.179,A3 satge of the EPD,N/A,,Ecoinvent,Refer: Matrrial database,,,
Global,Foam,Memory Foam,Whole process,Ecoinvent,"This emission factor is derived from the ecoinvent v3.11 dataset “mattress production, polyurethane foam mattress - GLO” to represent cradle-to-gate greenhouse gas (GHG) emissions from flexible polyurethane (PU) foam processing into finished products (e.g., cushions, upholstered furniture).","The original dataset models the production of a complete mattress with a total material mass of approximately 29.6 kg, comprising 24.45 kg of polyurethane flexible foam (~83% by mass) and other materials (cotton fabric, polyester resin, steel, nylon, etc.).
Total reported GHG emissions for one mattress are 237 kg CO₂e.
However, mattress production involves additional processes not relevant to foam cushion or upholstered furniture production (e.g., spring integration, textile cutting, quilting). Therefore, an adjustment is required to derive an appropriate emission factor for foam processing.
",24.45/29.6 kg,,"1️⃣ Proportional mass allocation of emissions to PU foam:
Foam mass share = 24.45 kg / 29.6 kg = 0.83 (83%)
Foam-attributable emissions = 237 kg CO₂e * 0.83 = 197 kg CO₂e
Initial emission factor = 197 kg CO₂e / 24.45 kg = 8.1 kg CO₂e/kg foam
2️⃣ Adjustment for mattress-specific processes:
Apply 25% deduction to remove mattress-specific contributions
Adjusted emission factor = 8.1 kg CO₂e/kg * 0.75 = 6.1 kg CO₂e/kg foam",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/19901/documentation,6.100,"1️⃣ Proportional mass allocation of emissions to PU foam:
Foam mass share = 24.45 kg / 29.6 kg = 0.83 (83%)
Foam-attributable emissions = 237 kg CO₂e * 0.83 = 197 kg CO₂e
Initial emission factor = 197 kg CO₂e / 24.45 kg = 8.1 kg CO₂e/kg foam
2️⃣ Adjustment for mattress-specific processes:
Apply 25% deduction to remove mattress-specific contributions
Adjusted emission factor = 8.1 kg CO₂e/kg * 0.75 = 6.1 kg CO₂e/kg foam",N/A,,Ecoinvent,,,,
Global,Foam,Latex Foam,Whole process,Ecoinvent,"This emission factor is derived from the ecoinvent v3.11 dataset “mattress production, polyurethane foam mattress - GLO” to represent cradle-to-gate greenhouse gas (GHG) emissions from flexible polyurethane (PU) foam processing into finished products (e.g., cushions, upholstered furniture).","The original dataset models the production of a complete mattress with a total material mass of approximately 29.6 kg, comprising 24.45 kg of polyurethane flexible foam (~83% by mass) and other materials (cotton fabric, polyester resin, steel, nylon, etc.).
Total reported GHG emissions for one mattress are 237 kg CO₂e.
However, mattress production involves additional processes not relevant to foam cushion or upholstered furniture production (e.g., spring integration, textile cutting, quilting). Therefore, an adjustment is required to derive an appropriate emission factor for foam processing.
",24.45/29.6 kg,,"1️⃣ Proportional mass allocation of emissions to PU foam:
Foam mass share = 24.45 kg / 29.6 kg = 0.83 (83%)
Foam-attributable emissions = 237 kg CO₂e * 0.83 = 197 kg CO₂e
Initial emission factor = 197 kg CO₂e / 24.45 kg = 8.1 kg CO₂e/kg foam
2️⃣ Adjustment for mattress-specific processes:
Apply 25% deduction to remove mattress-specific contributions
Adjusted emission factor = 8.1 kg CO₂e/kg * 0.75 = 6.1 kg CO₂e/kg foam",https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/19901/documentation,6.100,"1️⃣ Proportional mass allocation of emissions to PU foam:
Foam mass share = 24.45 kg / 29.6 kg = 0.83 (83%)
Foam-attributable emissions = 237 kg CO₂e * 0.83 = 197 kg CO₂e
Initial emission factor = 197 kg CO₂e / 24.45 kg = 8.1 kg CO₂e/kg foam
2️⃣ Adjustment for mattress-specific processes:
Apply 25% deduction to remove mattress-specific contributions
Adjusted emission factor = 8.1 kg CO₂e/kg * 0.75 = 6.1 kg CO₂e/kg foam",N/A,,Ecoinvent,,,,
Poland,Foam,High-Density Foam,Whole process,EPD,"In Module A3, the rubber compound is prepared by mixing rubber, chalk, and processing aids, followed by cooling and shaping on a rolling mill. After seasoning and re-rolling, the mixture is formed into a web, then foamed and vulcanized in an oven at high temperature. A non-woven polyester fabric is added as a backing before the oven stage.","In Module A3: Production, the process begins with the preparation of a rubber compound. This mixture consists of rubber as the matrix material, chalk as a filler, and various processing aids that facilitate both material handling and the subsequent foaming and vulcanization stages. The raw materials are initially combined in a mixer, where elevated temperature and pressure from a piston help blend the components. The resulting mixture is then transferred to a rolling mill, where it is cooled and shaped into rolls. After a seasoning period, the compound is re-rolled and moves on to the next stage—forming the final product. This involves shaping the rubber mixture into a web using a forming calender, followed by foaming and vulcanization in a vulcanizing oven at high temperatures. Just before entering the oven, a non-woven polyester fabric is fed into the system to serve as a backing layer onto which the rubber compound is applied.",1 kg of declared unit,"EPD for POLYETHYLENE FOAM BASED PRODUCTS:
⚠️ Close proxy        If PE-based HD foam is used, A3 may be valid; however, many HD foams are PU-based — confirm material origin first.",1 kg of declared unit,https://drive.google.com/file/d/1gELPpCZkR6smuqosInRrc-4JoA1-klBs/view?usp=drive_link,5.01,A1-A2,N/A,,EPD,,,,
Global,Foam,Low-Density Foam,Whole process,EPD,"In Module A3, the rubber compound is prepared by mixing rubber, chalk, and processing aids, followed by cooling and shaping on a rolling mill. After seasoning and re-rolling, the mixture is formed into a web, then foamed and vulcanized in an oven at high temperature. A non-woven polyester fabric is added as a backing before the oven stage.","In Module A3: Production, the process begins with the preparation of a rubber compound. This mixture consists of rubber as the matrix material, chalk as a filler, and various processing aids that facilitate both material handling and the subsequent foaming and vulcanization stages. The raw materials are initially combined in a mixer, where elevated temperature and pressure from a piston help blend the components. The resulting mixture is then transferred to a rolling mill, where it is cooled and shaped into rolls. After a seasoning period, the compound is re-rolled and moves on to the next stage—forming the final product. This involves shaping the rubber mixture into a web using a forming calender, followed by foaming and vulcanization in a vulcanizing oven at high temperatures. Just before entering the oven, a non-woven polyester fabric is fed into the system to serve as a backing layer onto which the rubber compound is applied.",1 kg of declared unit,"EPD for POLYETHYLENE FOAM BASED PRODUCTS:
	✅ Direct match	Dataset is based on LDPE foam — A3 processing includes heating, foaming, lamination — highly suitable.",1 kg of declared unit,https://drive.google.com/file/d/1gELPpCZkR6smuqosInRrc-4JoA1-klBs/view?usp=drive_link,5.01,A1-A2,N/A,,EPD,,,,
